mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
std1_Jac2.mtx,21982,21982,1248731,0.164392714,0.058094662,0.716061878,0.110703073,0.116024099,0.155855468,0.077639743,0.07318339
std1_Jac3_db.mtx,21982,21982,531826,0.102857989,0.037796271,0.26076274,0.073806502,0.190948315,0.059619567,0.055038541,0.067514029
std1_Jac3.mtx,21982,21982,1455848,0.205276625,0.06256255,0.825745063,0.120711926,0.150488187,0.182480563,0.08556887,0.076912743
steam1.mtx,240,240,3762,0.027831002,0.015602966,0.03127195,0.033966864,0.019042075,0.025558888,0.025765888,0.026502476
steam2.mtx,600,600,13760,0.04015115,0.015901457,0.048986712,0.036902744,0.020854172,0.026940536,0.026292407,0.026244141
steam3.mtx,80,80,928,0.019080124,0.014705183,0.018407768,0.029970772,0.015786877,0.023454481,0.024171702,0.025368014
stoch_aircraft.mtx,3754,7517,20267,0.024576994,0.014955385,0.023001212,0.039894531,0.01685479,0.029679366,0.031836568,0.033118448
stokes128.mtx,49666,49666,558594,0.039011408,0.032171927,0.092619824,0.078364502,0.028184384,0.048311192,0.050947812,0.054581721
stokes64.mtx,12546,12546,140034,0.034446861,0.018357454,0.045317442,0.043820879,0.019013536,0.034650753,0.036349907,0.037508272
stokes64s.mtx,12546,12546,140034,0.034457524,0.018327675,0.045299513,0.043473942,0.018963059,0.034499001,0.03610513,0.037673591
stomach.mtx,213360,213360,3021648,0.223231412,0.219351463,0.601607327,0.223281855,0.219517072,0.2243259,0.222650054,0.227463235
stormG2_1000.mtx,528185,1377306,3459881,0.228859789,0.226246578,0.533017979,0.355163209,0.228774584,0.228989666,0.229161567,0.231293982
stormg2-125.mtx,66185,172431,433256,0.042735485,0.037377424,0.092452137,0.070577396,0.030953309,0.050377292,0.05343094,0.057274164
stormg2-27.mtx,14441,37485,94274,0.039207988,0.021657536,0.043629777,0.044781951,0.020352258,0.035283559,0.035616867,0.038052284
stormg2-8.mtx,4409,11322,28553,0.037355777,0.019773279,0.043674782,0.043265727,0.019939274,0.03240623,0.0328339,0.034566144
str_0.mtx,363,363,2454,0.030756505,0.018878448,0.031594804,0.032722181,0.017392599,0.026404274,0.027277426,0.028529908
str_200.mtx,363,363,3068,0.033247001,0.016550638,0.032893397,0.033527856,0.017206858,0.025895868,0.026498303,0.027482667
str_400.mtx,363,363,3157,0.033944959,0.016952748,0.033874299,0.033654564,0.017457373,0.026024557,0.025613669,0.026805918
str_600.mtx,363,363,3279,0.034249902,0.017071279,0.034377736,0.033733874,0.017502329,0.026379833,0.025959529,0.026766145
Stranke94.mtx,10,10,90,0.016475973,0.014159849,0.017196905,0.025736345,0.014717907,0.020578484,0.020445252,0.020473157
struct3.mtx,53570,53570,1173694,0.065382073,0.054709236,0.235902294,0.117601657,0.046024132,0.061407793,0.061003206,0.064636075
struct4.mtx,4350,4350,237798,0.112429311,0.022478744,0.222771296,0.043917033,0.024349856,0.040968166,0.037477302,0.036636918
sts4098.mtx,4098,4098,72356,0.079025473,0.045972294,0.343632754,0.041545872,0.105396862,0.074515573,0.042556733,0.036688744
stufe-10.mtx,24010,24010,92828,0.021349164,0.017093871,0.020775228,0.045114741,0.018792809,0.034129867,0.037109001,0.040273517
stufe.mtx,1036,1036,3736,0.019933253,0.014703365,0.018797437,0.03971405,0.015011944,0.027439416,0.03090515,0.033946509
swang1.mtx,3169,3169,20841,0.025003164,0.014835025,0.027121304,0.041208188,0.016267492,0.029438499,0.031060075,0.032337372
swang2.mtx,3169,3169,20841,0.02524083,0.014945281,0.027417498,0.041224735,0.016323976,0.029301336,0.030946251,0.032258364
t0331-4l.mtx,664,46915,430982,0.492564649,0.059136704,2.423153042,0.062718806,0.322380298,0.11098287,0.059200767,0.049980198
t2dah_a.mtx,11445,11445,176117,0.040431531,0.019838395,0.060492889,0.043771686,0.020694835,0.034830312,0.035460464,0.036497222
t2dah_e.mtx,11445,11445,176117,0.040236815,0.019889188,0.060979585,0.043868871,0.020817141,0.035140437,0.035539284,0.036427786
t2dah.mtx,11445,11445,176117,0.040210641,0.01981793,0.060384041,0.044036362,0.020730612,0.035036512,0.035418278,0.036502767
t2dal_a.mtx,4257,4257,37465,0.033276621,0.015689511,0.029784524,0.041786613,0.017630692,0.031027159,0.032128738,0.033147138
