mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
iiasa.mtx,669,3639,7317,0.030043297,0.016011431,0.032795041,0.035515107,0.02124512,0.026289363,0.027141416,0.028087968
il2010.mtx,451554,451554,2164464,0.12256874,0.109413839,0.200675177,0.185182438,0.09582836,0.108760786,0.116639875,0.135816515
illc1033.mtx,1033,320,4732,0.021567028,0.014652741,0.017858659,0.035379042,0.014902505,0.025178918,0.027373566,0.029801867
illc1850.mtx,1850,712,8758,0.023653936,0.014556551,0.018236582,0.036476848,0.01540361,0.02572436,0.027952878,0.030242548
Ill_Stokes.mtx,20896,20896,191368,0.035731357,0.023996481,0.039612999,0.04519552,0.023627102,0.038713858,0.039767519,0.040796327
image_interp.mtx,240000,120000,711683,0.040008688,0.036769049,0.048453149,0.078442358,0.047548838,0.054900754,0.069619224,0.089256209
IMDB.mtx,428440,896308,3782463,0.332547418,0.349028287,1.007588219,0.329219149,0.304944798,0.306722569,0.262951085,0.265634611
impcol_a.mtx,207,207,572,0.017523973,0.015127673,0.015575009,0.027658237,0.014725758,0.022930447,0.025265018,0.027364493
impcol_b.mtx,59,59,312,0.016258892,0.014268075,0.015577802,0.026932539,0.014767483,0.021446247,0.021497967,0.021611887
impcol_c.mtx,137,137,411,0.01760586,0.015341832,0.015670874,0.02764884,0.014831923,0.022470682,0.023308569,0.02447667
impcol_d.mtx,425,425,1339,0.022192021,0.015823495,0.016833662,0.02988339,0.015309943,0.024548088,0.028150951,0.031426392
impcol_e.mtx,225,225,1308,0.020404025,0.014954639,0.016973236,0.029412757,0.015274664,0.023725524,0.025579849,0.02668462
in-2004.mtx,1382908,1382908,16917053,0.872480223,0.811589337,3.627295436,0.693745626,2.543013158,0.432135389,0.403634123,0.466657737
in2010.mtx,267071,267071,1281716,0.081710473,0.069506642,0.123783709,0.119330938,0.062634039,0.075217576,0.080719713,0.093185171
init_adder1.mtx,1813,1813,11156,0.143077002,0.131803736,0.381884777,0.03674239,0.115233054,0.082166557,0.039976708,0.03281968
inlet.mtx,11730,11730,328323,0.063404423,0.023172041,0.0977491,0.045376521,0.0259252,0.037961812,0.03808715,0.038522521
inline_1.mtx,503712,503712,36816342,0.860427554,0.776820299,8.24573246,1.249870341,0.873251299,0.720211834,0.642888174,0.640025827
ins2.mtx,309412,309412,2751484,21.18807947,20.7304015,92.00441383,0.687172918,52.06016802,0.233561978,0.196926829,0.211126577
internet.mtx,124651,124651,207214,0.058497707,0.04916119,0.074367502,0.056407087,0.037524703,0.047871115,0.059573449,0.081653369
invextr1_new.mtx,30412,30412,1793881,0.112615244,0.053724159,0.410079809,0.093785048,0.051390246,0.067697182,0.063800083,0.063075834
iprob.mtx,3001,3001,9000,0.507929341,0.466442083,0.839787254,0.040118394,0.244974618,0.09288405,0.045554743,0.039418964
italy_osm.mtx,6686493,6686493,14027956,0.494576137,0.486788372,0.525565293,1.322981078,0.927442503,0.585867375,0.748822988,1.064061594
jagmesh1.mtx,936,936,6264,0.02432423,0.014724151,0.020268467,0.033623369,0.015222709,0.025170829,0.026785485,0.028031173
jagmesh2.mtx,1009,1009,6865,0.025219314,0.014778028,0.020848898,0.035483171,0.015287762,0.025481986,0.027251418,0.028514879
jagmesh3.mtx,1089,1089,7361,0.02191276,0.014731546,0.020549226,0.034288163,0.01530826,0.025894533,0.027541283,0.028846361
jagmesh4.mtx,1440,1440,9504,0.024262755,0.014599392,0.020335415,0.034119854,0.015434785,0.025848002,0.027586367,0.028872093
jagmesh5.mtx,1180,1180,7750,0.023124216,0.014558379,0.020272038,0.035598795,0.015307599,0.025451978,0.027304163,0.028553165
jagmesh6.mtx,1377,1377,8993,0.024363087,0.014664457,0.020281249,0.036194087,0.015468222,0.025911162,0.027706873,0.029020818
jagmesh7.mtx,1138,1138,7450,0.022381681,0.014684939,0.02034463,0.036114208,0.015397541,0.025825372,0.027561509,0.028791102
jagmesh8.mtx,1141,1141,7465,0.02238928,0.014694231,0.020363293,0.036207808,0.015403075,0.02591483,0.027557871,0.028848235
jagmesh9.mtx,1349,1349,9101,0.024232016,0.014599723,0.020454443,0.034194168,0.015333966,0.025849019,0.027631623,0.028768951
jan99jac020.mtx,6774,6774,38692,0.040905001,0.021401975,0.045419303,0.040678921,0.021209057,0.033572963,0.033855238,0.03479401
jan99jac020sc.mtx,6774,6774,38692,0.04078479,0.021382679,0.045356317,0.040716013,0.021190414,0.033585333,0.033509954,0.034629911
jan99jac040.mtx,13694,13694,82842,0.0518161,0.023186178,0.046938982,0.041922986,0.02192039,0.036065169,0.035944138,0.037327978
jan99jac040sc.mtx,13694,13694,82842,0.051821335,0.023200438,0.046740488,0.041892532,0.021950111,0.036006668,0.03580074,0.037077335
jan99jac060.mtx,20614,20614,127182,0.039719184,0.024825841,0.048242988,0.043094216,0.022905377,0.036944131,0.036779925,0.037963025
jan99jac060sc.mtx,20614,20614,127182,0.040103407,0.024667614,0.048342064,0.043139077,0.022866595,0.037016254,0.036741052,0.037887091
jan99jac080.mtx,27534,27534,171522,0.04886588,0.026824488,0.049900764,0.04419883,0.024160461,0.037965858,0.03801831,0.039535181
jan99jac080sc.mtx,27534,27534,171522,0.048835605,0.026744836,0.050292347,0.044152177,0.024179706,0.037831762,0.038119621,0.039516595
jan99jac100.mtx,34454,34454,215862,0.042085328,0.028835883,0.05119055,0.045760999,0.025450935,0.039082297,0.039561293,0.041276729
jan99jac100sc.mtx,34454,34454,215862,0.042051128,0.028649081,0.051344504,0.045711065,0.025480526,0.039173069,0.039670211,0.041371741
jan99jac120.mtx,41374,41374,260202,0.050013801,0.030240629,0.053408277,0.047319564,0.026768711,0.040537964,0.040952615,0.04261027
jan99jac120sc.mtx,41374,41374,260202,0.050075088,0.030426963,0.05332801,0.047403913,0.026724582,0.040533543,0.04095481,0.042568887
jazz.mtx,198,198,5484,0.039360782,0.018279939,0.058782545,0.034809434,0.029502032,0.029015873,0.025293395,0.024666536
jendrec1.mtx,2109,4228,89608,0.076803214,0.016570691,0.169735267,0.037534245,0.020937231,0.032802914,0.031520636,0.031070918
