filename,cow,col,nnz,alpha_mv_time_gather4[ms],mkl_mv_time_gather4[ms],alpha_mv_time_plain[ms],mkl_mv_time_plain[ms],alpha_mv_time_shuffle[ms],mkl_mv_time_shuffle[ms],alpha_mv_time_sse[ms],mkl_mv_time_sse[ms],alpha_mv_time_vgather[ms],mkl_mv_time_vgather[ms]
bcsstm20.mtx,488,488,485,0.002591,0.001643,0.002605,0.001578,0.002336,0.002137,0.002269,0.001433,0.002323,0.001555
bcsstm21.mtx,3600,3600,3600,0.011271,0.007867,0.011749,0.007818,0.01266,0.007844,0.010035,0.007696,0.01091,0.007779
bcsstm22.mtx,140,140,138,0.001551,0.000886,0.001796,0.001083,0.001406,0.001044,0.001382,0.000726,0.001444,0.000857
bcsstm23.mtx,3136,3136,3134,0.010009,0.006906,0.010493,0.011765,0.008869,0.006915,0.00889,0.007052,0.008941,0.010226
bcsstm24.mtx,3564,3564,3562,0.011116,0.011481,0.01165,0.007842,0.009922,0.007774,0.010822,0.007667,0.009935,0.007775
bcsstm25.mtx,15440,15440,15439,0.044714,0.048315,0.046476,0.047441,0.03979,0.047369,0.041375,0.031827,0.043317,0.04749
bcsstm26.mtx,1924,1924,1922,0.006573,0.006518,0.006805,0.004416,0.007304,0.006526,0.005887,0.004365,0.005882,0.004435
bcsstm27.mtx,1224,1224,56126,0.100069,0.049868,0.041588,0.05076,0.037761,0.035451,0.036503,0.036953,0.101101,0.03559
bcsstm34.mtx,588,588,24270,0.043399,0.016475,0.018776,0.022783,0.017236,0.022443,0.016994,0.016401,0.043879,0.016549
bcsstm35.mtx,30240,30240,20619,0.093978,0.081832,0.094901,0.082081,0.078923,0.05827,0.083122,0.058015,0.087441,0.0821
bcsstm36.mtx,23052,23052,320606,0.614394,0.268932,0.30459,0.268817,0.279333,0.269258,0.292213,0.272135,0.616767,0.269666
bcsstm37.mtx,25504,25504,15525,0.089651,0.07538,0.084794,0.058559,0.079863,0.07542,0.078723,0.058558,0.085096,0.059182
bcsstm38.mtx,8032,8032,10485,0.039262,0.0361,0.036029,0.034986,0.033141,0.036158,0.032468,0.028413,0.038318,0.036348
bcsstm39.mtx,46772,46772,46772,0.135336,0.10042,0.140468,0.145595,0.119528,0.144014,0.120033,0.097911,0.118756,0.143965
b_dyn.mtx,1092,1092,4264,0.009009,0.00824,0.007263,0.006104,0.006918,0.006015,0.006761,0.0059,0.00926,0.008253
